Parts Short,Count,4,,
,QTY,(DIMENSION X),(DIMENSION Y),(DIMENSION Z)
,2,320,40,60
,2,600,40,60
,2,520,40,60
,2,240,40,60
,4,100,40,60
,4,628,40,60
,,,,
,,,,
Parts Long,Count,4,,
,QTY,(DIMENSION X),(DIMENSION Y),(DIMENSION Z)
,2,320,40,60
,2,600,40,60
,2,520,40,60
,2,240,40,60
,4,100,40,60
,4,878,40,60
,,,,
,,,,
Count Table,8,,,
Nummer,Anzahl,(DIMENSION X),(DIMENSION Y),(DIMENSION Z)
1,16,320,40,60
,16,600,40,60
,16,520,40,60
,16,240,40,60
,32,100,40,60
,16,628,40,60
,16,878,40,60
